CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
306844491,1,MANHATTAN,01/07/2020,11:00:00,01/08/2020,02:00:00,COMPLETED,,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,157,RAPE 1,RESIDENCE - APT. HOUSE,01/09/2020,982285,201682,40.72025522300004,-74.00709027999993,"(40.72025522300004, -74.00709027999993)"
454895950,52,BRONX,01/02/2020,21:25:00,01/03/2020,01:00:00,COMPLETED,,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,157,RAPE 1,RESIDENCE - APT. HOUSE,01/03/2020,1017542,255919,40.86905853200005,-73.87963014799993,"(40.86905853200005, -73.87963014799993)"
537867470,66,BROOKLYN,12/01/2019,00:01:00,12/01/2019,23:59:00,COMPLETED,,N.Y. POLICE DEPT,104,FELONY,FRONT OF,RAPE,,157,RAPE 1,OTHER,01/06/2020,986633,167258,40.62576896100006,-73.99141682199996,"(40.62576896100006, -73.99141682199996)"
474187564,5,MANHATTAN,12/07/2019,03:00:00,12/07/2019,03:30:00,COMPLETED,,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,157,RAPE 1,RESIDENCE - APT. HOUSE,01/04/2020,984946,200203,40.716195914000025,-73.99749074599998,"(40.716195914000025, -73.99749074599998)"
221193102,90,BROOKLYN,01/04/2020,10:00:00,01/04/2020,11:00:00,COMPLETED,INDEPENDENCE,N.Y. HOUSING POLICE,104,FELONY,INSIDE,RAPE,,157,RAPE 1,RESIDENCE - PUBLIC HOUSING,01/04/2020,997843,196573,40.70622201300005,-73.95097435599996,"(40.70622201300005, -73.95097435599996)"
792261318,78,BROOKLYN,01/01/2020,02:00:00,01/01/2020,06:00:00,COMPLETED,,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,157,RAPE 1,RESIDENCE - APT. HOUSE,01/02/2020,991374,187228,40.680579719000036,-73.97431655799994,"(40.680579719000036, -73.97431655799994)"
404122454,88,BROOKLYN,05/19/2019,19:00:00,,,COMPLETED,,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,157,RAPE 1,RESIDENCE - APT. HOUSE,01/09/2020,995188,190691,40.69008097200003,-73.96055993199997,"(40.69008097200003, -73.96055993199997)"
697742357,61,BROOKLYN,12/26/2019,00:01:00,12/26/2019,01:00:00,COMPLETED,,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,157,RAPE 1,RESIDENCE-HOUSE,01/07/2020,995244,155739,40.59414516900005,-73.96041495199995,"(40.59414516900005, -73.96041495199995)"
127535313,112,QUEENS,11/09/2019,22:00:00,,,COMPLETED,,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,157,RAPE 1,RESIDENCE - APT. HOUSE,01/04/2020,1025420,202485,40.72236368700004,-73.85147389399998,"(40.72236368700004, -73.85147389399998)"
750515452,75,BROOKLYN,11/26/2019,22:13:00,11/27/2019,01:07:00,COMPLETED,,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,157,RAPE 1,RESIDENCE - APT. HOUSE,01/10/2020,1017141,183798,40.67110691100004,-73.88143295699997,"(40.67110691100004, -73.88143295699997)"
698614514,105,QUEENS,07/10/2019,00:01:00,07/10/2019,23:59:00,COMPLETED,,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,157,RAPE 1,RESIDENCE-HOUSE,01/10/2020,1057636,203954,40.72618713000002,-73.73523390399998,"(40.72618713000002, -73.73523390399998)"
233968077,66,BROOKLYN,12/13/2019,00:01:00,12/13/2019,23:59:00,COMPLETED,,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,157,RAPE 1,OTHER,01/06/2020,986633,167258,40.62576896100006,-73.99141682199996,"(40.62576896100006, -73.99141682199996)"
964728585,72,BROOKLYN,03/01/2019,00:00:00,03/31/2019,23:59:00,COMPLETED,,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,157,RAPE 1,RESIDENCE - APT. HOUSE,01/03/2020,983964,179071,40.65819343200008,-74.00103224299994,"(40.65819343200008, -74.00103224299994)"
837769403,66,BROOKLYN,12/05/2019,00:01:00,12/05/2019,23:59:00,COMPLETED,,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,157,RAPE 1,OTHER,01/06/2020,986633,167258,40.62576896100006,-73.99141682199996,"(40.62576896100006, -73.99141682199996)"
902936409,83,BROOKLYN,02/01/2017,19:00:00,02/01/2017,19:30:00,COMPLETED,,N.Y. POLICE DEPT,104,FELONY,FRONT OF,RAPE,,157,RAPE 1,STREET,01/10/2020,1006965,193571,40.697963515000026,-73.91808336199995,"(40.697963515000026, -73.91808336199995)"
374397433,44,BRONX,12/25/2014,12:00:00,01/04/2019,23:59:00,COMPLETED,,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,157,RAPE 1,RESIDENCE - APT. HOUSE,01/06/2020,1006434,244344,40.83732351100008,-73.91983075699994,"(40.83732351100008, -73.91983075699994)"
531935316,69,BROOKLYN,01/01/2020,06:45:00,01/01/2020,07:33:00,COMPLETED,BAY VIEW,N.Y. HOUSING POLICE,104,FELONY,INSIDE,RAPE,,157,RAPE 1,RESIDENCE - PUBLIC HOUSING,01/01/2020,1010641,175525,40.64842111900003,-73.90489710899999,"(40.64842111900003, -73.90489710899999)"
510544539,44,BRONX,12/07/2019,00:00:00,12/08/2019,00:00:00,COMPLETED,,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,157,RAPE 1,RESIDENCE - APT. HOUSE,01/09/2020,1006434,244344,40.83732351100008,-73.91983075699994,"(40.83732351100008, -73.91983075699994)"
805722642,67,BROOKLYN,01/01/2013,15:00:00,05/01/2016,00:00:00,COMPLETED,,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,157,RAPE 1,RESIDENCE - APT. HOUSE,01/15/2020,998032,175598,40.648650085000035,-73.95033556299995,"(40.648650085000035, -73.95033556299995)"
320489641,75,BROOKLYN,12/27/2019,20:00:00,12/27/2019,23:00:00,COMPLETED,,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,157,RAPE 1,RESIDENCE - APT. HOUSE,01/15/2020,1017141,183798,40.67110691100004,-73.88143295699997,"(40.67110691100004, -73.88143295699997)"
496972920,75,BROOKLYN,01/16/2020,01:05:00,01/16/2020,01:05:00,COMPLETED,,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,157,RAPE 1,HOTEL/MOTEL,01/16/2020,1017141,183798,40.67110691100004,-73.88143295699997,"(40.67110691100004, -73.88143295699997)"
499682470,45,BRONX,12/14/2019,08:00:00,12/15/2019,03:00:00,COMPLETED,THROGGS NECK,N.Y. HOUSING POLICE,104,FELONY,INSIDE,RAPE,,157,RAPE 1,RESIDENCE - PUBLIC HOUSING,01/11/2020,1032047,242037,40.83088999300003,-73.82728461999993,"(40.83088999300003, -73.82728461999993)"
383319759,75,BROOKLYN,01/01/2013,00:00:00,12/31/2013,23:59:00,COMPLETED,,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,157,RAPE 1,RESIDENCE - APT. HOUSE,01/17/2020,1017141,183798,40.67110691100004,-73.88143295699997,"(40.67110691100004, -73.88143295699997)"
813853904,105,QUEENS,01/01/2014,00:01:00,,,COMPLETED,,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,157,RAPE 1,RESIDENCE-HOUSE,01/15/2020,1057636,203954,40.72618713000002,-73.73523390399998,"(40.72618713000002, -73.73523390399998)"
